logid,date,staffnumber,projectid,hours
3640486,2020-08-03,5727,18201,7.5
3640488,2020-08-03,3636,19348,7.5
3640495,2020-08-03,3631,21537,7.5
3640518,2020-08-03,5689,15362,7.5
3640530,2020-07-13,3631,21537,7.5
3640531,2020-07-14,3631,21537,7.5
3640532,2020-07-15,3631,21537,7.5
3640533,2020-07-16,3631,21537,7.5
3640534,2020-07-17,3631,21537,7.5
3640536,2020-07-13,5722,18201,7.5
3640537,2020-07-14,5722,18201,7.5
3640538,2020-07-15,5722,18201,7.5
3640539,2020-07-16,5722,18201,7.5
3640540,2020-07-17,5722,18201,7.5
3640565,2020-07-20,3535,26907,2
3640568,2020-07-06,3535,20448,7.5
3640569,2020-07-07,3535,20448,7.5
3640570,2020-07-08,3535,20448,7.5
3640571,2020-07-09,3535,20448,7.5
3640572,2020-07-10,3535,20448,7.5
3640573,2020-07-13,3535,20448,7.5
3640574,2020-07-14,3535,20448,7.5
3640575,2020-07-15,3535,20448,7.5
3640576,2020-07-16,3535,20448,7.5
3640577,2020-07-17,3535,20448,7.5
3640671,2020-07-20,5727,18201,7.5
3640688,2020-07-20,3636,25809,1
3640689,2020-07-20,3636,26903,0.5
3640690,2020-07-20,3636,15357,1
3640692,2020-07-06,3636,25784,0.75
3640693,2020-07-07,3636,26827,0.5
3640694,2020-07-07,3636,26849,0.5
3640695,2020-07-07,3636,26848,1
3640696,2020-07-07,3636,26847,0.5
3640697,2020-07-07,3636,26846,0.5
3640698,2020-07-09,3636,26835,1
3640699,2020-07-09,3636,19348,0.5
3640700,2020-07-07,3636,19348,0.5
3640701,2020-07-09,3636,25767,0.5
3640702,2020-07-09,3636,19348,0.25
3640703,2020-07-09,3636,25701,2
3640704,2020-07-09,3636,25747,1
3640705,2020-07-09,3636,19348,0.5
3640706,2020-07-09,3636,26895,0.75
3640707,2020-07-07,3636,19348,1
3640708,2020-07-06,3636,19348,1.25
3640709,2020-07-06,3636,19348,0.5
3640710,2020-07-06,3636,25805,0.5
3640711,2020-07-09,3636,26836,1
3640713,2020-07-20,3636,25733,0.25
3640715,2020-07-08,3636,19348,7.5
3640716,2020-07-13,3636,19348,7.5
3640717,2020-07-14,3636,19348,7.5
3640718,2020-07-15,3636,19348,7.5
3640719,2020-07-16,3636,19348,7.5
3640777,2020-07-20,3636,25767,2
3641065,2020-07-21,3636,19348,1.5
3641068,2020-07-21,3636,26835,2
3641069,2020-07-21,3636,18287,1
3641073,2020-07-20,3636,26849,0.75
3641076,2020-07-20,3636,15452,1
3641120,2020-07-21,5727,18201,7.5
3649645,2020-09-01,3636,15452,3.5
3649648,2020-09-01,3636,19348,2
3649650,2020-09-01,3636,15357,0.25
3619802,2020-04-08,5727,18201,7.5
3619803,2020-04-09,5727,18201,7.5
3619991,2020-04-13,5727,18201,7.5
3620252,2020-04-14,5727,18201,7.5
3620379,2020-04-09,3636,25701,1
3620380,2020-04-01,3636,26830,1
3620381,2020-04-06,3636,19348,3
3620382,2020-04-07,3636,19348,2
3620383,2020-04-08,3636,25748,1.5
3620384,2020-04-08,3636,25805,1
3620385,2020-04-06,3636,18287,1.5
3620386,2020-04-07,3636,18285,1
3620387,2020-04-09,3636,15357,1.5
3620388,2020-04-13,3636,19348,1
3620389,2020-04-07,3636,19348,1
3620390,2020-04-07,3636,19348,1
3620392,2020-04-03,3636,15357,1.5
3620394,2020-04-06,3636,26865,1.5
3620395,2020-04-06,3636,26855,1.5
3620396,2020-04-02,3636,19348,2.5
3620397,2020-04-02,3636,26827,1
3620398,2020-04-01,3636,25780,2
3620399,2020-04-01,3636,19348,0.5
3620400,2020-04-03,3636,19348,1
3620401,2020-04-03,3636,15357,1
3620403,2020-04-01,3636,19348,3.5
3620408,2020-04-02,3636,25774,1
3620409,2020-04-02,3636,19348,3
3620410,2020-04-01,3636,15357,0.5
3620411,2020-04-08,3636,15357,0.5
3620412,2020-04-07,3636,19348,0.5
3620413,2020-04-03,3636,19348,4
3620414,2020-04-07,3636,19348,2
3620415,2020-04-08,3636,19348,4.5
3620416,2020-04-09,3636,19348,5
3620457,2020-04-15,5727,18201,7.5
3620492,2020-04-13,3636,26830,3
3621749,2020-04-13,5689,21537,7.5
3621750,2020-04-14,5689,21537,7.5
3621751,2020-04-15,5689,21537,7.5
3621753,2020-04-16,5689,15362,7.5
3630275,2020-05-27,5689,15362,7.5
3630276,2020-05-28,5689,15362,5.5
3630278,2020-05-28,5689,26856,2
3630281,2020-05-28,5727,18201,7.5
3630388,2020-05-29,5727,18201,4.5
3630453,2020-05-28,3636,25747,2.5
3630462,2020-05-27,3636,19348,3
3630464,2020-05-25,3636,15357,0.5
3630469,2020-05-25,3636,19348,0.25
3630471,2020-05-29,3636,18287,1
3630475,2020-05-27,3636,25701,2
3630476,2020-05-27,3636,25805,0.5
3630477,2020-05-27,3636,25780,2
3630480,2020-05-28,3636,19348,0.5
3630482,2020-05-26,3636,25733,2
3630486,2020-05-26,3636,15357,0.5
3630736,2020-05-29,5689,21537,7.5
3630739,2020-06-01,5689,15362,5
3630741,2020-06-01,5727,18201,7.5
3630816,2020-05-29,5727,18201,3
3630852,2020-05-29,3636,25767,1
3630947,2020-06-01,3636,19348,3.25
3630948,2020-06-01,3636,18287,0.25
3630949,2020-06-01,3636,15357,1
3630950,2020-06-01,3636,19348,2.5
3639343,2020-07-08,5727,18201,7.5
3639554,2020-07-06,5689,15362,7.5
3639555,2020-07-07,5689,15362,7
3639556,2020-07-07,5689,21537,1
3639557,2020-07-08,5689,15362,5
3639558,2020-07-08,5689,21537,2.5
3639560,2020-07-09,5689,15362,7.5
3639561,2020-07-10,5689,15362,7.5
3639564,2020-07-09,5727,18201,7.5
3639634,2020-07-10,5727,18201,7.5
3639785,2020-07-13,5727,18201,7.5
3639911,2020-07-14,5727,18201,7.5
3639977,2020-07-15,5727,18201,7.5
3648306,2020-08-28,3636,26846,1
3648308,2020-08-28,3636,26847,1
3648309,2020-08-28,3636,26848,1
3648311,2020-08-28,3636,26849,1
3648312,2020-08-28,3636,25767,0.5
3648315,2020-08-28,3636,26912,0.5
3648316,2020-08-28,3636,26922,1
3648317,2020-08-28,3636,26923,1
3648321,2020-08-27,3636,25742,1
3648334,2020-08-28,3636,25742,0.25
3648335,2020-08-27,3636,15452,0.75
3648336,2020-08-27,3636,15452,1
3648337,2020-08-27,3636,15452,0.5
3648338,2020-08-27,3636,26921,0.25
3648344,2020-08-26,3636,19348,2
3648345,2020-08-26,3636,19348,2.5
3648346,2020-08-26,3636,15452,1
3648347,2020-08-26,3636,26921,0.25
3648348,2020-08-26,3636,15357,0.25
3648349,2020-08-24,3636,26896,0.5
3648350,2020-08-26,3636,19348,1
3648351,2020-08-25,3636,15452,0.5
3648354,2020-08-25,3636,25709,1
3648356,2020-08-25,3636,15452,2
3648683,2020-08-24,5689,21537,7.5
3648684,2020-08-25,5689,15362,7.5
3648685,2020-08-26,5689,15362,7.5
3648686,2020-08-27,5689,21537,7.5
3648687,2020-08-28,5689,15362,7.5
3648688,2020-08-31,5689,15362,7.5
3648692,2020-08-24,3631,21537,7.5
3648693,2020-08-25,3631,21537,7.5
3648694,2020-08-26,3631,21537,7.5
3648695,2020-08-27,3631,21537,7.5
3648696,2020-08-28,3631,21537,7.5
3648759,2020-08-31,5727,18201,7.5
3648760,2020-08-24,5722,18201,3.75
3648775,2020-08-17,3535,20448,7.5
3648776,2020-08-18,3535,25767,7.5
3648777,2020-08-19,3535,20448,7.5
3648779,2020-08-20,3535,20448,7.5
3648780,2020-08-21,3535,26907,1.5
3648782,2020-08-24,3535,20448,7.5
3648783,2020-08-25,3535,20448,7.5
3648785,2020-08-26,3535,20448,7.5
3648786,2020-08-27,3535,20448,7.5
3648787,2020-08-28,3535,20448,7.5
3648828,2020-08-17,3636,15357,0.5
3648829,2020-08-17,3636,26921,1
3648830,2020-08-17,3636,15452,1.5
3648831,2020-08-17,3636,25717,1
3648832,2020-08-17,3636,19348,1
3648833,2020-08-18,3636,25717,0.5
3648834,2020-08-18,3636,26896,1
3648835,2020-08-18,3636,25809,0.25
3648836,2020-08-18,3636,15357,0.5
3648837,2020-08-18,3636,19348,0.25
3648838,2020-08-19,3636,15452,1
3648839,2020-08-19,3636,19348,1
3648840,2020-08-19,3636,26836,0.5
3648842,2020-08-19,3636,19348,0.5
3648843,2020-08-19,3636,19348,0.25
3648845,2020-08-19,3636,15452,0.5
3648846,2020-08-20,3636,15357,0.5
3648847,2020-08-20,3636,26921,1
3648848,2020-08-20,3636,19348,0.25
3617508,2020-04-01,5689,15362,5
3626025,2020-05-11,5727,18201,7.5
3626067,2020-04-29,3631,21537,7.5
3626068,2020-04-30,3631,21537,7.5
3626069,2020-05-01,3631,21537,7.5
3626070,2020-05-04,3631,21537,7.5
3626071,2020-05-05,3631,21537,7.5
3626072,2020-05-06,3631,21537,7.5
3626073,2020-05-07,3631,21537,7.5
3626074,2020-05-08,3631,21537,7.5
3626075,2020-04-29,5722,18201,7.5
3626076,2020-04-30,5722,18201,7.5
3626077,2020-05-01,5722,18201,7.5
3626078,2020-05-04,5722,18201,7.5
3626079,2020-05-05,5722,18201,7.5
3626080,2020-05-06,5722,18201,7.5
3626081,2020-05-07,5722,18201,7.5
3626082,2020-05-08,5722,18201,7.5
3626169,2020-05-08,5689,15362,3
3626170,2020-05-08,5689,21537,4.5
3626172,2020-04-27,3535,20448,7.5
3626173,2020-04-28,3535,20448,7.5
3626174,2020-04-29,3535,20448,7.5
3626175,2020-04-30,3535,20448,7.5
3626176,2020-05-01,3535,20448,7.5
3626177,2020-05-05,3535,20448,7.5
3626178,2020-05-06,3535,20448,7.5
3626179,2020-05-07,3535,20448,7.5
3626180,2020-05-08,3535,20448,7.5
3626288,2020-05-12,5727,18201,7.5
3626402,2020-05-07,3636,19348,5.5
3626403,2020-05-08,3636,19348,3
3626404,2020-05-07,3636,19348,1.5
3626406,2020-05-07,3636,19348,0.5
3626409,2020-05-11,3636,19348,3
3626414,2020-05-11,3636,19348,1.5
3626415,2020-05-12,3636,19348,2
3626416,2020-04-27,3636,18285,1.5
3626417,2020-04-27,3636,25709,2
3626418,2020-04-27,3636,19348,3.25
3626420,2020-04-28,3636,26835,1
3626422,2020-05-06,3636,15357,1.5
3626425,2020-04-29,3636,25784,2
3626428,2020-04-30,3636,15357,1
3626433,2020-04-28,3636,19348,6.5
3626434,2020-04-29,3636,19348,5
3626436,2020-04-30,3636,19348,6.5
3626437,2020-05-01,3636,19348,7.5
3626440,2020-05-04,3636,19348,5
3626441,2020-05-05,3636,19348,7.5
3626442,2020-05-06,3636,19348,6
3626443,2020-05-08,3636,19348,4.5
3626444,2020-05-12,3636,26829,1
3626445,2020-05-12,3636,26849,0.5
3626446,2020-05-12,3636,19348,0.5
3626447,2020-05-12,3636,19348,3
3626448,2020-05-04,3636,26882,2.5
3626449,2020-04-27,3636,25805,0.75
3627538,2020-04-29,3636,15357,0.5
3627622,2020-05-15,3631,21537,7.5
3627625,2020-05-13,3636,15357,1
3627729,2020-05-01,5689,15362,7.5
3627859,2020-05-13,5727,18201,7.5
3636277,2020-06-18,3636,25784,1
3636278,2020-06-19,3636,25767,0.5
3636279,2020-06-19,3636,15357,2
3636280,2020-06-18,3636,25742,0.5
3636281,2020-06-16,3636,15357,0.5
3636282,2020-06-16,3636,26829,0.5
3636283,2020-06-16,3636,19348,6.5
3636284,2020-06-17,3636,19348,3
3636285,2020-06-18,3636,19348,6
3636286,2020-06-19,3636,19348,5
3636529,2020-06-24,5727,18201,7.5
3636546,2020-06-22,5689,15362,5
3636547,2020-06-22,5689,21537,2.5
3636548,2020-06-23,5689,15362,5.5
3636549,2020-06-23,5689,21537,3.5
3636551,2020-06-24,5689,21537,4
3636552,2020-06-24,5689,15362,4.5
3636681,2020-06-22,3631,26865,7.5
3636682,2020-06-24,3631,21537,7.5
3636683,2020-06-23,3631,26865,4.5
3636684,2020-06-25,3631,21537,7.5
3636685,2020-06-22,5722,18201,7.5
3636686,2020-06-23,5722,18201,7.5
3636687,2020-06-24,5722,18201,7.5
3636688,2020-06-25,5722,18201,7.5
3636689,2020-06-26,5722,18201,7.5
3636701,2020-06-25,5727,18201,7.5
3636707,2020-06-25,3636,19348,2
3636830,2020-06-26,5727,18201,7.5
3637048,2020-06-29,5727,18201,7.5
3643386,2020-07-20,5689,15362,7.5
3643387,2020-07-21,5689,15362,7.5
3643388,2020-07-22,5689,21537,7.5
3643389,2020-07-23,5689,21537,7.5
3643390,2020-07-24,5689,21537,7.5
3643391,2020-07-27,5689,15362,7.5
3643393,2020-07-28,5689,15362,7.5
3643394,2020-07-29,5689,21537,7.5
